iter	Passed	Remaining
409	3557	5118
410	3564	5108
411	3572	5098
412	3580	5088
413	3588	5079
414	3596	5070
415	3604	5060
416	3612	5050
417	3620	5041
418	3629	5032
419	3637	5022
420	3644	5012
421	3652	5002
422	3660	4993
423	3668	4983
424	3676	4974
425	3684	4964
426	3692	4954
427	3700	4945
428	3708	4935
429	3716	4926
430	3724	4917
431	3732	4907
432	3740	4897
433	3748	4888
434	3756	4879
435	3764	4869
436	3771	4859
437	3779	4849
438	3786	4838
439	3793	4827
440	3801	4818
441	3809	4808
442	3817	4799
443	3824	4789
444	3832	4780
445	3840	4770
446	3848	4761
447	3856	4751
448	3864	4742
449	3872	4732
450	3880	4723
451	3888	4714
452	3896	4705
453	3904	4695
454	3912	4686
455	3921	4678
456	3929	4669
457	3937	4659
458	3945	4650
459	3953	4641
460	3963	4634
461	3970	4623
462	3978	4614
463	3987	4606
464	3994	4596
465	4002	4586
466	4010	4577
467	4018	4567
468	4026	4559
469	4034	4549
470	4042	4540
471	4050	4530
472	4058	4521
473	4066	4512
474	4074	4502
475	4082	4493
476	4092	4486
477	4104	4482
478	4116	4477
479	4123	4466
480	4133	4460
481	4142	4451
482	4153	4446
483	4162	4437
484	4170	4428
485	4179	4420
486	4187	4410
487	4196	4402
488	4204	4393
489	4216	4388
490	4225	4380
491	4236	4374
492	4245	4366
493	4253	4357
494	4261	4347
495	4270	4338
496	4278	4330
497	4287	4321
498	4295	4312
499	4305	4305
500	4312	4295
501	4319	4285
502	4327	4275
503	4334	4265
504	4339	4253
505	4344	4241
506	4351	4231
507	4357	4219
508	4363	4208
509	4370	4199
510	4378	4190
511	4384	4178
512	4390	4168
513	4399	4159
514	4405	4148
515	4412	4138
516	4418	4128
517	4425	4117
518	4433	4109
519	4440	4099
520	4448	4089
521	4456	4080
522	4465	4072
523	4473	4063
524	4481	4054
525	4489	4045
526	4498	4037
527	4505	4027
528	4513	4018
529	4521	4009
530	4529	4000
531	4538	3992
532	4546	3983
533	4554	3974
534	4562	3965
535	4570	3956
536	4579	3948
537	4586	3938
538	4594	3929
539	4602	3920
540	4610	3911
541	4619	3903
542	4627	3894
543	4635	3885
544	4643	3876
545	4651	3867
546	4660	3859
547	4668	3850
548	4676	3841
549	4684	3832
550	4692	3823
551	4700	3814
552	4710	3807
553	4717	3798
554	4725	3789
555	4733	3780
556	4741	3771
557	4749	3762
558	4758	3753
559	4766	3745
560	4774	3736
561	4782	3727
562	4790	3718
563	4798	3709
564	4808	3702
565	4817	3694
566	4826	3686
567	4835	3677
568	4845	3670
569	4854	3662
570	4862	3653
571	4868	3643
572	4876	3633
573	4883	3624
574	4891	3615
575	4900	3606
576	4908	3598
577	4916	3589
578	4924	3581
579	4932	3571
580	4941	3563
581	4950	3555
582	4957	3546
583	4965	3536
584	4973	3528
585	4981	3519
586	4991	3511
587	5000	3503
588	5008	3494
589	5016	3486
590	5024	3477
591	5032	3468
592	5040	3459
593	5048	3450
594	5056	3441
595	5064	3433
596	5073	3424
597	5081	3415
598	5088	3406
599	5096	3397
600	5104	3389
601	5112	3380
602	5120	3371
603	5128	3362
604	5137	3354
605	5145	3345
606	5153	3336
607	5161	3327
608	5169	3319
609	5178	3310
610	5186	3301
611	5194	3293
612	5201	3284
613	5209	3275
614	5217	3266
615	5225	3257
616	5233	3248
617	5241	3239
618	5249	3231
619	5257	3222
620	5265	3213
621	5273	3204
622	5281	3195
623	5289	3187
624	5297	3178
625	5305	3169
626	5313	3161
627	5322	3152
628	5329	3143
629	5338	3135
630	5346	3126
631	5354	3117
632	5362	3108
633	5370	3100
634	5378	3091
635	5385	3082
636	5394	3073
637	5402	3065
638	5409	3056
639	5417	3047
640	5425	3038
641	5433	3029
642	5441	3021
643	5450	3012
644	5458	3004
645	5466	2995
646	5473	2986
647	5481	2977
648	5489	2968
649	5496	2959
650	5504	2951
651	5513	2942
652	5521	2933
653	5529	2925
654	5536	2916
655	5544	2907
656	5553	2899
657	5561	2890
658	5569	2881
659	5577	2873
660	5585	2864
661	5594	2856
662	5601	2847
