iter	RMSE
516	0.1108424725
517	0.1107781808
518	0.1107193112
519	0.1106667642
520	0.1105923202
521	0.1105111365
522	0.1104503766
523	0.1103997601
524	0.11034242
525	0.1102203453
526	0.1101697793
527	0.1100830202
528	0.1100253413
529	0.1099371778
530	0.1098542905
531	0.1097589402
532	0.1096984616
533	0.1096396539
534	0.1095652979
535	0.1095036183
536	0.1094171889
537	0.1093693359
538	0.1093004555
539	0.1092452062
540	0.1091802503
541	0.1091196956
542	0.1090650792
543	0.1090035354
544	0.1089657677
545	0.1089047487
546	0.108836986
547	0.1087835276
548	0.1087384117
549	0.1086589155
550	0.1085963133
551	0.1085217859
552	0.1084296735
553	0.1083475911
554	0.1082909848
555	0.108250331
556	0.1081934095
557	0.1081284822
558	0.1080650307
559	0.1080201646
560	0.1079439626
561	0.1078840584
562	0.1078297006
563	0.1077600698
564	0.1076892095
565	0.1076403945
566	0.1075896654
567	0.1074963499
568	0.1074352374
569	0.107357378
570	0.1072661887
571	0.1072138031
572	0.107158283
573	0.1071085486
574	0.1070499864
575	0.106999206
576	0.1069095894
577	0.1068422554
578	0.1067615913
579	0.1067138282
580	0.1066409496
581	0.1065915694
582	0.1065315576
583	0.1064774284
584	0.1064055781
585	0.1063636922
586	0.1063050357
587	0.1062249315
588	0.106160544
589	0.1060829593
590	0.1060280386
591	0.1059745006
592	0.1058972765
593	0.1058370201
594	0.105792079
595	0.1057153365
596	0.10563419
597	0.1055728075
598	0.10552915
599	0.1054919023
600	0.1054177873
601	0.1053642993
602	0.105316546
603	0.1052590567
604	0.1052090938
605	0.1051687167
606	0.1051117617
607	0.1050642167
608	0.1050095934
609	0.104949657
610	0.1049042958
611	0.1048477999
612	0.1047841227
613	0.1047436347
614	0.1046629455
615	0.1046101379
616	0.1045321087
617	0.1044738297
618	0.1044029859
619	0.1043539542
620	0.1043066895
621	0.1042303188
622	0.1041709509
623	0.1040989515
624	0.1040474905
625	0.1039646656
626	0.103903684
627	0.103800618
628	0.103738069
629	0.1036852579
630	0.1036192307
631	0.1035490241
632	0.1034860839
633	0.1034314089
634	0.1033743865
635	0.103339233
636	0.1032805591
637	0.1032209823
638	0.1031869712
639	0.1031383581
640	0.1030849916
641	0.1030374378
642	0.1030008836
643	0.1029419413
644	0.1028773438
645	0.1028303772
646	0.1027827904
647	0.1027379103
648	0.1026740401
649	0.1026462154
650	0.1025837732
651	0.1025394483
652	0.1024996998
653	0.1024205227
654	0.1023749885
655	0.1023129701
656	0.1022608687
657	0.1022222313
658	0.1021752248
659	0.102112028
660	0.1020568241
661	0.1020092742
662	0.1019548403
663	0.1019003683
664	0.1018564512
665	0.1018148329
666	0.1017701037
667	0.1017192124
668	0.1016677486
669	0.1016176585
670	0.1015691748
671	0.1015102057
672	0.1014479367
673	0.101388803
674	0.1013174681
675	0.1012401469
676	0.1011920338
677	0.1011559155
678	0.1011227203
679	0.1010496132
680	0.100992162
681	0.1009172599
682	0.1008312715
683	0.1007636541
684	0.1007313149
685	0.1006807458
686	0.1006313409
687	0.1005905297
688	0.1005250387
689	0.1004833538
690	0.100447078
691	0.1004188664
692	0.1003850867
693	0.1003323226
694	0.1002528014
695	0.1001967878
696	0.1001443365
697	0.10007395
698	0.1000185148
699	0.09996571906
700	0.09990679113
701	0.09986055092
702	0.09981131198
703	0.09976129603
704	0.09972326792
705	0.09968290515
706	0.09964156074
707	0.09959796779
708	0.09954039468
709	0.09950108518
710	0.09946628727
711	0.09941339731
712	0.09936901845
713	0.09932227455
714	0.09927451757
715	0.09924586272
716	0.09919608611
717	0.09914797704
718	0.09910007032
719	0.09904320995
720	0.0989889924
721	0.09895439055
722	0.09891319578
723	0.09886676585
724	0.09881557211
725	0.09875972944
726	0.09870034096
727	0.09867458861
728	0.09864258395
729	0.09860509677
730	0.09855570822
731	0.09851395536
732	0.09847756876
733	0.09843366801
734	0.09839882866
735	0.0983545693
736	0.09831473317
737	0.09828144032
738	0.09823486748
739	0.09818541498
740	0.09814518216
741	0.09808597725
742	0.09804715605
743	0.09800536932
744	0.09796043609
745	0.09791465406
746	0.09786766298
747	0.0978373293
748	0.09780357987
749	0.09776657595
750	0.09771584458
751	0.09766227491
752	0.09760818837
753	0.09756596612
754	0.09753354686
755	0.09750180742
756	0.0974590498
757	0.09739805715
758	0.09734322845
759	0.09731572535
760	0.09725256099
761	0.09721591136
762	0.09717781647
763	0.09714284148
764	0.09710932556
765	0.09707401699
766	0.09702840529
767	0.09697180017
768	0.09693841847
769	0.09689319849
770	0.09682783659
771	0.09680192804
772	0.09676835596
773	0.09673523739
774	0.09668600967
775	0.09664004532
776	0.09658690886
777	0.09654893912
778	0.0964928935
779	0.09643038384
780	0.09640032374
781	0.09631601225
782	0.0962819881
783	0.09624442233
784	0.09621235701
785	0.09615673261
786	0.0961282954
787	0.09607213473
788	0.0960395766
789	0.0960056849
790	0.09595616465
791	0.09591506213
792	0.0958675596
793	0.09583010598
794	0.09579342707
795	0.09574897189
796	0.09571589713
797	0.09567932656
798	0.09563265716
799	0.09557407777
800	0.09552955975
801	0.09547401845
802	0.09542640858
803	0.09538257917
804	0.09535371157
805	0.09531188809
806	0.09528139474
807	0.09525329297
808	0.09521132614
809	0.09516657476
810	0.09513505117
811	0.09509780424
812	0.09505125267
813	0.09498261904
814	0.09494823065
815	0.09490281564
816	0.09486927651
817	0.09484212751
818	0.09481084795
819	0.09478262253
820	0.094744213
821	0.09469270899
822	0.09465959028
823	0.09458612546
824	0.09452512202
825	0.09448447572
826	0.09444782355
827	0.09440040909
828	0.09435158778
829	0.0942989774
830	0.09425820585
831	0.0942334619
832	0.09419476615
833	0.09415682066
834	0.09408828526
835	0.0940489626
836	0.09402554815
837	0.09399096127
838	0.09392910713
839	0.09390139274
840	0.09385262651
841	0.09381172765
842	0.09374223786
843	0.09369476476
844	0.09365539806
845	0.09362164727
846	0.09359050532
847	0.09357106311
848	0.09353654253
849	0.09348012968
850	0.09344597463
851	0.09339721808
852	0.09335850653
853	0.09333137001
854	0.09329039561
855	0.09324742539
856	0.0932098362
857	0.09316916945
858	0.09312680518
859	0.09309652458
860	0.09306534777
861	0.09299801335
862	0.09296007719
863	0.09293696369
864	0.09289835932
865	0.0928565109
866	0.09282469365
867	0.09278272342
868	0.09272043612
869	0.09267304819
870	0.09264678541
871	0.09261788012
872	0.09259468792
873	0.0925570345
874	0.09252160135
875	0.09249156969
876	0.09245976196
877	0.09242328157
878	0.09239569924
879	0.09234525768
880	0.09230098252
881	0.09226823527
882	0.09220925476
883	0.09217416874
884	0.0921520551
885	0.09209844464
886	0.09204719703
887	0.09200850925
888	0.09199408343
889	0.09196937183
890	0.09193374761
891	0.09189974788
892	0.09186667063
893	0.09183520866
894	0.09179719636
895	0.09174891575
896	0.09170949985
897	0.09164979895
898	0.09161388039
899	0.09158501845
900	0.09155433778
901	0.09151774175
902	0.09147110787
903	0.09144649194
904	0.09138738486
905	0.09134330816
906	0.09131713543
907	0.09128998251
908	0.09125458303
909	0.09121386521
910	0.09118250558
911	0.09113206559
912	0.09110069762
913	0.09107705437
914	0.09106011715
915	0.09102949813
916	0.09099767255
917	0.09095470641
918	0.09092364133
919	0.09089094868
920	0.09084869369
921	0.09081422944
922	0.09078371924
923	0.09074692867
924	0.09073028675
925	0.09068880259
926	0.09065783719
927	0.09062858917
928	0.09059875937
929	0.09056193983
930	0.09053298792
931	0.090496876
932	0.09048412291
933	0.09045660914
934	0.09042688984
935	0.09038229662
936	0.09034013219
937	0.09029764645
938	0.09026514731
939	0.09023710375
940	0.09020836765
941	0.09018072508
942	0.09015377741
943	0.09010297568
944	0.09006264338
945	0.09003055694
946	0.09001015886
947	0.08997789224
948	0.08995461598
949	0.0899177206
950	0.08987100161
951	0.08983407286
952	0.08980182421
953	0.08977215033
954	0.08972818846
955	0.08968933866
956	0.08965687241
957	0.08962948601
958	0.08960701235
959	0.08957776813
960	0.08954751618
961	0.0895025307
962	0.08947492601
963	0.0894463813
964	0.08939224527
965	0.08936877525
966	0.08934929341
967	0.08931555284
968	0.08928220908
969	0.08924177367
970	0.08919095921
971	0.08916094359
972	0.08913497918
973	0.08910522263
974	0.08907422291
975	0.08904734468
976	0.08902169627
977	0.08899626716
978	0.08898164541
979	0.08895390612
980	0.08892274785
981	0.08888121442
982	0.08884896284
983	0.08881163193
984	0.08877046096
985	0.08871943712
986	0.08867166266
987	0.08864692569
988	0.08861111329
989	0.08857262004
990	0.08853922865
991	0.08851032876
992	0.08847622179
993	0.08845224456
994	0.08841639017
995	0.08839482767
996	0.08838009906
997	0.08835358449
998	0.08831328762
999	0.08827863398
